season, url,
1,'https://www.youtube.com/watch?v=McwPB-eQ2BY&list=PLACTVlX7-E7rq5Ghz0ll5sARODdIGljLK',
2,'https://www.youtube.com/watch?v=MroqCKWf8SY&list=PLACTVlX7-E7oyZ9QGPqFVYmXX0npYN9tZ',
3,'https://www.youtube.com/watch?v=K1ZqPEmk2Ho&list=PLACTVlX7-E7ot5AxkiGvuy4qem8nM-Mo6',
4,'https://www.youtube.com/watch?v=hRQq4iSLAi8&list=PLACTVlX7-E7qP5XYTd7MsqgeewRPlw4HR',
5,'https://www.youtube.com/watch?v=ygSDsQhV7aI&list=PLACTVlX7-E7rBAqGs_bgQDDJNZgwRpVKI',
6,'https://www.youtube.com/watch?v=0UHpZ9YlOeQ&list=PLACTVlX7-E7ovvwkDQn2B4aRyQf0E-Ecb',
6, 'https://www.youtube.com/watch?v=W53ttgL7yJg&list=PLACTVlX7-E7o_dbXQophqz_3dhnZFk2i7',
7, 'https://www.youtube.com/watch?v=2CLFTY7Kwbo&list=PLACTVlX7-E7o9lBOoNCZgPLqBsRlzV2f6',
7,'https://www.youtube.com/watch?v=s_-mP5Ne0ps&list=PLACTVlX7-E7ovtPLoVkGceGx6537TGoW7',
8,'https://www.youtube.com/watch?v=ZCFpz16dYYA&list=PLACTVlX7-E7rQIBED2Kfqk88nJL8iYpyw',
9,'https://www.youtube.com/watch?v=EGi70GAvqek&list=PLACTVlX7-E7oEGoLBnXkL5yt5nnSAaWXw',
10, 'https://www.youtube.com/watch?v=_JywROwNlWE&list=PLACTVlX7-E7qpWXUMNNvGsWaSU9jep85J',
11, 'https://www.youtube.com/watch?v=6kKDnfbYx-4&list=PLACTVlX7-E7pbBjiq1d8c39N0MAfx7KPP',
12, 'https://www.youtube.com/watch?v=V3Ewvh21P2c&list=PLACTVlX7-E7p3mtr1Eds5KmZ0RIiESRv2',
13, 'https://www.youtube.com/watch?v=NLrI4plEi90&list=PLACTVlX7-E7oCmwHSwioJfFdH4OAH4NTl',
